No.;komentar
1;Produk sudah diterima dg baik , wanginya bikin santai dan nyaman jg dipake di kulit .  Biasa pakai minyak ini untuk urut dan hasilnya kulit berasa lembab dan Ini udh ke 2.
2;Bagus untuk perawatan kulit apalagi sblm kita luluran jdi agak lembut kulitnya.
3;wanginya enak juga manfaatnya bikin kulit lembut
4;Saya memang sudah menggunakan zaitun sejak dulu dan memang zaitun the best untuk kulit hasil yang cerah
5;Enak ringan diaplikasikan , drpd zaitun lain nya yg cenderung lebih oily .. Ini ringan n cenderung cair jd enak diaplikasikan gak terlalu lengket oily .. Bau nya jg khas zaitun herborist, ada aroma2 jasmine nya jd enegg.
6;Hemm aroma nya wangii , dan saya baru pertama x beli produk ini Mgkin akan saya pakai untuk tumit, siku , dan lengan.
7;Dari dlu suka sekali minyak zaitun herboris .  Krna teksturnya enak di kulit , wanginya elegan jadi gak malu , dan dikulit sangat nyaman.
8;Kalian wajib beli Oil Herborist wangi nya ngga ada yg nyamain .  pasti bikin ketagihan , bisa buat dicampur lulur mandi , SPA dirumahh
9;pake ini buat pengganti balsem atau minyak urut bagi yg gak suka sama baunya , terima kasih seller
10;Minyak ini teksturnya cair banget , cepat meresap dan gak lengket .  wanginya juga enak.  Ada 2 biji mojokeling didalamnya.
11;Ternyata wangi banget, buatku yg ga suka wangi tajam lama2 bikin pusing.  Mungkin beda2 untuk selera orang ya .
12;Minyak zaitun , melembabkan kulit...terumata kaki...kulit - kulit matinya jadi terkelupas...Suka juga dengan aromanya...wangi banget .  Katanya bagus di olesin ke kulit sebelum luluran .  Belum coba sih.
13; Wangi minyak zaitunnya sangat khas .. Cocok untuk pijat & urut
14;meresap Wangi buanget minyak zaitun dr herborist ini .. Maaf ya kak , baru kasih penilaian sekarang , sy lupa sampe minyaknya udh kepake lumayan banyak.
15;Harum banget dan lembut di tangan. Semoga bagus untuk saya jdi nek bisa order lagi .
16;Suka banget dengan minyak zaitun herborist karena wanginya enak , cocok untuk kerok , urut dan pijit Ga lengket dikulit , bikin kulit lembat dan ga kering
17;Aroma menyegarkan dan menghangatkan bisa buat mijet juga, kemasan aman,  harga ramah kantong.
18;Zaitun nya dah sampe , harum awet suka bnget pokoknya
19;Cocok untuk Pijat Refleksi, Wangi Semerbak. Terimakasih
20;Minyak Zaitun Favoritku Dan Udh Pembelian Ke Sekian Kalinya. Ngebantu Banget Pas Lagi Luluran Bikin Kulit Lembut Dan Kerasa Lebih Bersih Lulurannya.
21;Pembelian Kedua, Ini Enak Banget di pake sebelum Lulur Dan Bikin Kulit Lembap Dan Lembut.
22;Pernah Pakai Minyak Zaitun ini, Baunya Harumm Dan Bikin Rileks Kalau dipakai Di Malam Hari. Bisa Melembabkan Kulit di Kakiku yang sempat Kering
23;Ini gak bikin berminyak yang demek gitu, tapi lebih bikin kulit lembab.
24;lembut, nyaman saat dipakai, tidak peran kecewa dengan herborist.
25;enak bgt jadi lembab ,untuk pijat juga enak btw
26;Suka bgtt sma minyak zaitun ini dan wanginya enak.
27;kegunaannya untuk melembabkan kulit dan bisa jg buat pijat , Lihat Lainnya gak ada produk yg bocor..
28;Btw kenapa sih produk2 Herborist wangi - wangi semuaaa ?? Wanginya enak bgt lembut dan menenangkan.
29;Suka banget sama prodak herboris gak tau kenapa sampe nyetok , biasanya aku buat campur lulur , kalo gak buat masker rambut , sebelum mandi aku olesin kerambutku sambil luluran , bagus rambut jadi gak kering dan gak kusut lebih halus.
30;Worth it untuk kulit kering / bisa di gunakan ketika di ruang ber ac karena kulit bener2 kering.
31;eeehh Suka banget sama minyak zaitun dari herborist .  Kalo rutin pake nya bisa mudarin kulit aku ya ada bekas koreng nya , makannya selalu restok Karna emang enak itu❤
32; Mudah menyerap di kulit.  Wanginya benar2 tenang .Enak banget kalo dipijat pake ini. Tambah sayang deh sama suami.
33; Untuk yang gak begitu suka aroma2 zaitun banget , ini oke sih karna udah ada campuran parfum yang soft banget , oke banget pokoknya.
34;Bikin kulit jadi lembab dan ga gampang kering apalagi musim kemarau gini yg bikin kulit gampang pecah + wanginya awet.
35;Minyak zaitunnya wangi bangett , ini recomended banget!!  Herborist emg prodak fav aku sih!!
36;Wangiii banget suka untuk pijiitt2
37;akuu udah pakai kedua kalinya dan bagus banget dong ini bener bener jahitan itu kulit aku kan kering pake ini langsung lembab ilang gitu keringnyaa baguss.
38;semoga cocokk buat bantu kulit kering akuu huhu kalo cocok bakalan order lagi
39;suka banget sama minyak zaitun dari herborist wanginy enak bgt kalau mau tidur suka olesin secukupnya ke badan biar segar pas tidur dan bangun tetep wangi dikit.
40;emang sesuka itu sama minyak zaitun dr herboris ini , suami ak suka bgt kalau d suruh ngurut badan ak pake minyak merk lain ngedumel Mulu wkwkwk
41;Aku berlangganan herborist soalnya suka semua produknya .  Apalagi minyak zaitun sama body scrub nya bisa bikin lembab sukaaaaa
42;Suka sama minyak zaitun ini & membantu merawat kulit tubuh & rambut saya yg kering
43;pembelian kesekian kali , gabisa move on pokoknya dr minyak zaitun ini, cocok bgt dikombinasiin sama body lotion jd makin ngelembabin kulit .
44;Minyaknya wangi harum, cairannya bening putih.
45;Minyak zaitun dapat menurunkan panas untuk anak kecil dan cocok untuk badan luka.
46;Bagus , ga perlu diragukan lagi produk herborist apalagi varian zaitun udah kayak abis dari salon.
47;Selalu suka dengan semua varian herborist .  Wangi nya menurutku khas bali banget , bikin kangen.
48;Pertama kali cobaan ini , saat datang langsung dipakai Awalnya ga suka baunya kek parfume banget , tapi yaaa baguss , keknya bakalan berlangganan deh.
49;Ini cocok banget dipake buat abis mandi apalagi yg kulit kering.
50;Baunya wangi cocok untuk pijat .  Ada bijinya di dalamnya.
51;bakal berlangganan deh beli ini terus... jd penasaran bau2 wangi lainnya...
52;Wah produk ini bener2 wangi .. tekstur lembut dan nyaman bikin relaksasi aromannya.
53;Sudah beli 8 kali y ,, membantu terapis untuk pijat.
54;Selalu jd produk fav aq herborist ini ... Ini aku beli untuk campuran lulur sama buat face masage jg.
55;Wangi bangetttt realIIII asli banget herboristnya mantappppppppppppppppppppppppp
56;wangi dan enak banget buat urut urut di badan apalagi lagi hamil di urut bagian kaki eunnakkk full bgd hehehehe
57;buat pijat urut enak Licin wangi n lembut di kulit , aromaterapi gak bikin pusing.
58;Ini wanginya seriusan enak banget , botolnya juga plastik tebal gitu jadi gak gampang pecah kalau kebanting .  Oke banget deh
59;Pertama kali nyoba minyak zaitun nya udah langsung suka banget sih sama wangi nya Terima kasih.
60;Wanginya harum banget, suka deh!!!  Makasih banyak ya
61;Selalu suka sama minyak zaitun herborist wanginya tahan lama dan tidak membuat iritasi pada kulit.
62;wanginya enak , menenangkan bgt , dipake buat scrub atau luluran enak juga , mantep deh .  terima kasih herborist
63;selalu stok oil ini , untuk pijat dan olesin si doggy , wangi bangeet
64;Produknya bagus bgt buat melembabkan kulit kering , buat rambut jga bagus .
65;Ini untuk ayah saya yg kulitnya kering baunya harum , thanks
